hospital,lat,long,year,hour,patients,wait_time,department,doctor_name,available,leave_status,floor,room,beds_available
City Hospital,28.61,77.2,2023,14,71,32,Orthopedic,Dr Verma,Yes,No,2,296,4
Metro Hospital,28.65,77.25,2022,13,69,63,Dental,Dr Wong,No,Yes,1,168,2
City Hospital,28.61,77.2,2023,16,42,27,X-ray,Dr Das,Yes,No,4,452,6
Green Valley Hospital,28.7,77.3,2023,11,80,43,Cardiology,Dr Gupta,Yes,No,3,396,3
City Hospital,28.61,77.2,2023,4,17,14,X-ray,Dr Ray,Yes,No,4,478,10
Metro Hospital,28.65,77.25,2023,6,12,9,X-ray,Dr Das,Yes,No,4,413,9
Metro Hospital,28.65,77.25,2024,12,69,50,Cardiology,Dr Gupta,Yes,No,3,330,3
City Hospital,28.61,77.2,2024,5,4,27,Orthopedic,Dr Reddy,No,Yes,2,241,10
Green Valley Hospital,28.7,77.3,2024,22,77,35,Emergency,Dr Smith,Yes,No,0,76,4
City Hospital,28.61,77.2,2023,9,28,51,Dental,Dr Ali,No,Yes,1,154,7
Metro Hospital,28.65,77.25,2024,16,95,66,Emergency,Dr Doe,Yes,No,0,67,1
Metro Hospital,28.65,77.25,2024,14,89,62,Dental,Dr Singh,Yes,No,1,160,2
Metro Hospital,28.65,77.25,2024,13,141,98,Emergency,Dr Allen,Yes,No,0,35,0
Metro Hospital,28.65,77.25,2023,8,49,33,Dental,Dr Wong,Yes,No,1,155,3
Green Valley Hospital,28.7,77.3,2023,2,40,25,Emergency,Dr Smith,Yes,No,0,80,5
Metro Hospital,28.65,77.25,2022,3,2,3,Dental,Dr Ali,Yes,No,1,199,8
City Hospital,28.61,77.2,2024,2,11,10,Orthopedic,Dr Sharma,Yes,No,2,249,8
City Hospital,28.61,77.2,2023,9,47,35,Orthopedic,Dr Reddy,Yes,No,2,223,6
City Hospital,28.61,77.2,2022,2,24,15,Emergency,Dr Khan,Yes,No,0,23,4
Metro Hospital,28.65,77.25,2023,6,15,13,X-ray,Dr Das,Yes,No,4,432,8
Green Valley Hospital,28.7,77.3,2023,14,64,38,X-ray,Dr Das,Yes,No,4,474,2
City Hospital,28.61,77.2,2023,14,137,86,Emergency,Dr Smith,Yes,No,0,21,0
Metro Hospital,28.65,77.25,2022,6,4,3,Cardiology,Dr Wright,Yes,No,3,325,10
Green Valley Hospital,28.7,77.3,2023,19,139,74,Emergency,Dr Smith,Yes,No,0,59,0
Metro Hospital,28.65,77.25,2024,7,0,0,Dental,Dr Wong,Yes,No,1,190,6
City Hospital,28.61,77.2,2022,21,0,0,Dental,Dr Ali,Yes,No,1,148,9
City Hospital,28.61,77.2,2022,6,27,17,Emergency,Dr Allen,Yes,No,0,78,4
Metro Hospital,28.65,77.25,2024,12,61,37,X-ray,Dr Das,Yes,No,4,475,4
Green Valley Hospital,28.7,77.3,2022,11,88,61,Dental,Dr Wong,Yes,No,1,179,1
Green Valley Hospital,28.7,77.3,2024,13,81,57,Dental,Dr Ali,Yes,No,1,138,1
Green Valley Hospital,28.7,77.3,2022,8,89,55,Emergency,Dr Doe,Yes,No,0,85,3
City Hospital,28.61,77.2,2024,17,45,22,Cardiology,Dr Gupta,Yes,No,3,397,5
Metro Hospital,28.65,77.25,2024,6,3,2,Dental,Dr Singh,Yes,No,1,170,8
City Hospital,28.61,77.2,2022,15,38,30,Orthopedic,Dr Verma,Yes,No,2,290,5
City Hospital,28.61,77.2,2023,3,2,4,Orthopedic,Dr Sharma,Yes,No,2,259,10
Metro Hospital,28.65,77.25,2023,22,39,29,Cardiology,Dr Kim,Yes,No,3,380,6
Green Valley Hospital,28.7,77.3,2022,21,164,109,Emergency,Dr Smith,Yes,No,0,71,0
Metro Hospital,28.65,77.25,2023,12,47,32,X-ray,Dr Das,Yes,No,4,462,3
Green Valley Hospital,28.7,77.3,2023,11,65,31,Cardiology,Dr Gupta,Yes,No,3,371,3
Metro Hospital,28.65,77.25,2023,12,92,49,Orthopedic,Dr Verma,Yes,No,2,294,1
City Hospital,28.61,77.2,2022,5,11,9,Orthopedic,Dr Sharma,Yes,No,2,251,10
Green Valley Hospital,28.7,77.3,2022,11,60,42,Dental,Dr Wong,Yes,No,1,144,2
Metro Hospital,28.65,77.25,2022,13,81,55,Cardiology,Dr Kim,Yes,No,3,343,2
City Hospital,28.61,77.2,2023,19,61,33,X-ray,Dr Ray,Yes,No,4,431,3
Metro Hospital,28.65,77.25,2023,1,39,28,Emergency,Dr Doe,Yes,No,0,75,3
Metro Hospital,28.65,77.25,2023,22,62,34,Emergency,Dr Khan,Yes,No,0,72,3
Green Valley Hospital,28.7,77.3,2024,11,133,83,Emergency,Dr Smith,Yes,No,0,44,0
Metro Hospital,28.65,77.25,2022,10,126,66,Emergency,Dr Khan,Yes,No,0,83,0
Metro Hospital,28.65,77.25,2024,20,74,50,Cardiology,Dr Wright,Yes,No,3,318,2
City Hospital,28.61,77.2,2023,15,36,25,X-ray,Dr Das,Yes,No,4,486,3
Metro Hospital,28.65,77.25,2023,14,156,82,Emergency,Dr Khan,Yes,No,0,22,0
City Hospital,28.61,77.2,2024,1,1,32,Dental,Dr Ali,No,Yes,1,115,7
Green Valley Hospital,28.7,77.3,2023,18,75,36,Orthopedic,Dr Patel,Yes,No,2,270,2
City Hospital,28.61,77.2,2022,14,57,32,X-ray,Dr Ray,Yes,No,4,414,3
City Hospital,28.61,77.2,2022,4,7,31,Orthopedic,Dr Patel,No,Yes,2,277,6
Metro Hospital,28.65,77.25,2024,4,39,26,Emergency,Dr Khan,Yes,No,0,32,2
City Hospital,28.61,77.2,2023,12,71,37,Dental,Dr Wong,Yes,No,1,143,3
City Hospital,28.61,77.2,2024,7,38,26,Cardiology,Dr Lee,Yes,No,3,355,6
Green Valley Hospital,28.7,77.3,2023,23,36,22,X-ray,Dr Ray,Yes,No,4,445,8
City Hospital,28.61,77.2,2024,20,82,91,Cardiology,Dr Gupta,No,Yes,3,347,1
City Hospital,28.61,77.2,2024,3,13,8,X-ray,Dr Ray,Yes,No,4,434,9
Green Valley Hospital,28.7,77.3,2024,23,38,23,Cardiology,Dr Kim,Yes,No,3,364,5
Green Valley Hospital,28.7,77.3,2023,9,109,71,Emergency,Dr Smith,Yes,No,0,28,0
City Hospital,28.61,77.2,2022,21,124,59,Emergency,Dr Allen,Yes,No,0,13,0
Green Valley Hospital,28.7,77.3,2024,10,84,57,Cardiology,Dr Lee,Yes,No,3,347,1
Metro Hospital,28.65,77.25,2022,16,95,46,Emergency,Dr Smith,Yes,No,0,83,2
City Hospital,28.61,77.2,2023,9,27,49,X-ray,Dr Das,No,Yes,4,497,7
Green Valley Hospital,28.7,77.3,2024,20,93,49,Dental,Dr Wong,Yes,No,1,175,1
Green Valley Hospital,28.7,77.3,2023,6,4,5,Orthopedic,Dr Sharma,Yes,No,2,280,8
Green Valley Hospital,28.7,77.3,2023,14,72,53,Cardiology,Dr Wright,Yes,No,3,396,1
Green Valley Hospital,28.7,77.3,2024,1,1,35,Dental,Dr Wong,No,Yes,1,148,6
Metro Hospital,28.65,77.25,2023,9,43,22,X-ray,Dr Das,Yes,No,4,428,5
Green Valley Hospital,28.7,77.3,2023,20,93,60,Cardiology,Dr Kim,Yes,No,3,362,2
City Hospital,28.61,77.2,2023,5,29,51,Emergency,Dr Smith,No,Yes,0,15,5
City Hospital,28.61,77.2,2023,15,38,28,X-ray,Dr Das,Yes,No,4,464,7
City Hospital,28.61,77.2,2024,6,10,8,Orthopedic,Dr Patel,Yes,No,2,246,8
Green Valley Hospital,28.7,77.3,2022,14,83,46,Orthopedic,Dr Sharma,Yes,No,2,267,1
City Hospital,28.61,77.2,2024,8,38,27,X-ray,Dr Das,Yes,No,4,475,7
Green Valley Hospital,28.7,77.3,2022,1,4,4,Orthopedic,Dr Verma,Yes,No,2,290,10
Metro Hospital,28.65,77.25,2022,15,47,33,Orthopedic,Dr Sharma,Yes,No,2,289,3
Green Valley Hospital,28.7,77.3,2024,20,99,51,Orthopedic,Dr Verma,Yes,No,2,245,1
Green Valley Hospital,28.7,77.3,2022,9,25,19,X-ray,Dr Ray,Yes,No,4,450,7
Green Valley Hospital,28.7,77.3,2022,8,65,39,Emergency,Dr Khan,Yes,No,0,75,4
Metro Hospital,28.65,77.25,2023,8,28,18,X-ray,Dr Das,Yes,No,4,429,6
Metro Hospital,28.65,77.25,2022,20,71,46,Orthopedic,Dr Sharma,Yes,No,2,267,2
Green Valley Hospital,28.7,77.3,2022,21,80,93,Orthopedic,Dr Sharma,No,Yes,2,264,2
