hospital,lat,long,year,hour,patients,wait_time,department,doctor_name,available,leave_status,floor,room,beds_available
City Hospital,28.61,77.2,2024,6,4,6,Orthopedic,Dr Sharma,Yes,No,2,252,10
City Hospital,28.61,77.2,2024,15,26,14,Orthopedic,Dr Reddy,Yes,No,2,264,7
Metro Hospital,28.65,77.25,2024,9,42,51,Cardiology,Dr Gupta,No,Yes,3,366,6
Metro Hospital,28.65,77.25,2024,9,35,18,X-ray,Dr Das,Yes,No,4,451,7
Green Valley Hospital,28.7,77.3,2024,16,71,43,Emergency,Dr Allen,Yes,No,0,79,3
Metro Hospital,28.65,77.25,2023,5,13,13,X-ray,Dr Ray,Yes,No,4,412,8
Metro Hospital,28.65,77.25,2022,18,76,36,X-ray,Dr Ray,Yes,No,4,491,2
Green Valley Hospital,28.7,77.3,2024,14,93,64,Cardiology,Dr Gupta,Yes,No,3,333,2
City Hospital,28.61,77.2,2024,12,64,46,Orthopedic,Dr Patel,Yes,No,2,226,4
Green Valley Hospital,28.7,77.3,2023,19,79,36,Cardiology,Dr Kim,Yes,No,3,342,1
Green Valley Hospital,28.7,77.3,2022,21,71,82,Cardiology,Dr Gupta,No,Yes,3,391,4
Green Valley Hospital,28.7,77.3,2022,15,28,17,Orthopedic,Dr Patel,Yes,No,2,239,5
Green Valley Hospital,28.7,77.3,2024,23,50,26,Cardiology,Dr Kim,Yes,No,3,390,3
Green Valley Hospital,28.7,77.3,2022,20,91,41,Dental,Dr Singh,Yes,No,1,190,0
City Hospital,28.61,77.2,2024,12,88,53,Cardiology,Dr Lee,Yes,No,3,371,2
Metro Hospital,28.65,77.25,2022,3,10,8,Cardiology,Dr Kim,Yes,No,3,384,6
Metro Hospital,28.65,77.25,2022,22,97,79,Emergency,Dr Smith,No,Yes,0,56,3
City Hospital,28.61,77.2,2023,0,0,0,Dental,Dr Singh,Yes,No,1,112,10
Green Valley Hospital,28.7,77.3,2022,5,18,13,X-ray,Dr Ray,Yes,No,4,456,6
City Hospital,28.61,77.2,2022,1,3,46,Dental,Dr Wong,No,Yes,1,190,7
City Hospital,28.61,77.2,2024,9,36,54,Orthopedic,Dr Sharma,No,Yes,2,279,3
City Hospital,28.61,77.2,2022,2,2,6,Cardiology,Dr Wright,Yes,No,3,325,6
Metro Hospital,28.65,77.25,2023,0,64,35,Emergency,Dr Khan,Yes,No,0,28,5
City Hospital,28.61,77.2,2022,18,76,67,Orthopedic,Dr Reddy,No,Yes,2,213,2
Green Valley Hospital,28.7,77.3,2024,0,42,32,Cardiology,Dr Kim,Yes,No,3,330,3
Metro Hospital,28.65,77.25,2023,17,35,18,X-ray,Dr Ray,Yes,No,4,485,7
Green Valley Hospital,28.7,77.3,2024,1,6,4,Cardiology,Dr Kim,Yes,No,3,374,7
Metro Hospital,28.65,77.25,2023,11,54,37,X-ray,Dr Das,Yes,No,4,428,4
Metro Hospital,28.65,77.25,2023,17,33,18,Cardiology,Dr Gupta,Yes,No,3,310,4
Green Valley Hospital,28.7,77.3,2024,16,33,17,X-ray,Dr Ray,Yes,No,4,430,8
City Hospital,28.61,77.2,2022,15,31,18,Dental,Dr Ali,Yes,No,1,168,7
City Hospital,28.61,77.2,2024,23,24,18,X-ray,Dr Das,Yes,No,4,449,4
Green Valley Hospital,28.7,77.3,2022,15,73,32,Emergency,Dr Doe,Yes,No,0,83,4
City Hospital,28.61,77.2,2022,5,28,12,Emergency,Dr Khan,Yes,No,0,70,5
City Hospital,28.61,77.2,2024,2,7,8,Orthopedic,Dr Sharma,Yes,No,2,272,10
Green Valley Hospital,28.7,77.3,2024,0,63,37,Emergency,Dr Khan,Yes,No,0,54,3
Green Valley Hospital,28.7,77.3,2022,3,10,9,Cardiology,Dr Lee,Yes,No,3,337,7
Green Valley Hospital,28.7,77.3,2023,19,154,77,Emergency,Dr Khan,Yes,No,0,14,0
Metro Hospital,28.65,77.25,2023,12,69,40,Orthopedic,Dr Sharma,Yes,No,2,255,5
Metro Hospital,28.65,77.25,2022,7,25,44,Orthopedic,Dr Verma,No,Yes,2,238,6
Metro Hospital,28.65,77.25,2024,3,3,32,Dental,Dr Wong,No,Yes,1,198,9
Metro Hospital,28.65,77.25,2023,23,0,0,Dental,Dr Singh,No,Yes,1,126,8
Green Valley Hospital,28.7,77.3,2024,18,68,30,X-ray,Dr Ray,Yes,No,4,447,3
Metro Hospital,28.65,77.25,2022,20,142,114,Emergency,Dr Allen,No,Yes,0,22,0
City Hospital,28.61,77.2,2022,23,24,14,X-ray,Dr Ray,Yes,No,4,431,7
Metro Hospital,28.65,77.25,2022,18,103,74,Dental,Dr Singh,Yes,No,1,173,1
Green Valley Hospital,28.7,77.3,2022,18,170,78,Emergency,Dr Allen,Yes,No,0,14,0
City Hospital,28.61,77.2,2024,12,90,54,Dental,Dr Singh,Yes,No,1,185,1
City Hospital,28.61,77.2,2022,11,42,24,X-ray,Dr Ray,Yes,No,4,458,4
Metro Hospital,28.65,77.25,2024,10,119,56,Emergency,Dr Smith,Yes,No,0,93,0
Green Valley Hospital,28.7,77.3,2023,23,28,45,X-ray,Dr Das,No,Yes,4,421,7
Green Valley Hospital,28.7,77.3,2022,0,46,26,Cardiology,Dr Kim,Yes,No,3,388,3
Green Valley Hospital,28.7,77.3,2024,17,48,25,Orthopedic,Dr Verma,Yes,No,2,285,4
Metro Hospital,28.65,77.25,2023,9,53,31,Cardiology,Dr Gupta,Yes,No,3,356,2
Green Valley Hospital,28.7,77.3,2023,0,26,56,Cardiology,Dr Wright,No,Yes,3,355,7
Metro Hospital,28.65,77.25,2023,7,38,19,X-ray,Dr Ray,Yes,No,4,413,3
Metro Hospital,28.65,77.25,2022,21,167,73,Emergency,Dr Khan,Yes,No,0,30,0
Green Valley Hospital,28.7,77.3,2024,5,2,2,Orthopedic,Dr Sharma,Yes,No,2,219,8
Green Valley Hospital,28.7,77.3,2023,3,30,24,Emergency,Dr Khan,Yes,No,0,21,5
Metro Hospital,28.65,77.25,2022,2,9,7,X-ray,Dr Das,Yes,No,4,446,5
City Hospital,28.61,77.2,2024,6,9,6,X-ray,Dr Das,Yes,No,4,446,5
Metro Hospital,28.65,77.25,2024,14,138,100,Emergency,Dr Allen,Yes,No,0,83,0
Green Valley Hospital,28.7,77.3,2024,1,35,23,Emergency,Dr Khan,Yes,No,0,39,5
City Hospital,28.61,77.2,2023,14,75,80,Dental,Dr Wong,No,Yes,1,170,3
City Hospital,28.61,77.2,2024,0,38,51,Cardiology,Dr Kim,No,Yes,3,323,4
City Hospital,28.61,77.2,2023,7,49,24,Cardiology,Dr Wright,Yes,No,3,397,5
Green Valley Hospital,28.7,77.3,2024,12,157,140,Emergency,Dr Doe,No,Yes,0,53,0
Green Valley Hospital,28.7,77.3,2024,5,5,3,Cardiology,Dr Kim,Yes,No,3,376,7
Green Valley Hospital,28.7,77.3,2024,9,38,22,Orthopedic,Dr Patel,Yes,No,2,277,5
City Hospital,28.61,77.2,2023,9,85,60,Emergency,Dr Doe,Yes,No,0,59,4
Green Valley Hospital,28.7,77.3,2022,23,41,28,X-ray,Dr Das,Yes,No,4,492,5
Metro Hospital,28.65,77.25,2023,6,30,24,Emergency,Dr Khan,Yes,No,0,71,5
City Hospital,28.61,77.2,2024,9,37,26,Dental,Dr Ali,Yes,No,1,162,8
Green Valley Hospital,28.7,77.3,2022,14,78,43,Cardiology,Dr Wright,Yes,No,3,378,3
Green Valley Hospital,28.7,77.3,2024,11,79,85,Orthopedic,Dr Reddy,No,Yes,2,237,3
Green Valley Hospital,28.7,77.3,2023,12,79,48,Orthopedic,Dr Reddy,Yes,No,2,249,3
Green Valley Hospital,28.7,77.3,2024,11,59,50,X-ray,Dr Das,No,Yes,4,467,4
Green Valley Hospital,28.7,77.3,2024,11,60,36,Dental,Dr Singh,Yes,No,1,182,5
Green Valley Hospital,28.7,77.3,2022,12,148,87,Emergency,Dr Khan,Yes,No,0,94,0
City Hospital,28.61,77.2,2024,14,88,58,Dental,Dr Wong,Yes,No,1,198,2
City Hospital,28.61,77.2,2024,14,71,33,Cardiology,Dr Lee,Yes,No,3,373,4
City Hospital,28.61,77.2,2022,10,61,31,X-ray,Dr Das,Yes,No,4,441,5
Green Valley Hospital,28.7,77.3,2024,13,60,35,X-ray,Dr Das,Yes,No,4,453,4
Green Valley Hospital,28.7,77.3,2023,14,145,70,Emergency,Dr Khan,Yes,No,0,46,0
Metro Hospital,28.65,77.25,2024,7,93,48,Emergency,Dr Doe,Yes,No,0,81,3
Metro Hospital,28.65,77.25,2022,9,32,20,Dental,Dr Singh,Yes,No,1,170,6
Metro Hospital,28.65,77.25,2024,9,31,16,X-ray,Dr Das,Yes,No,4,421,8
Metro Hospital,28.65,77.25,2024,14,147,99,Emergency,Dr Khan,Yes,No,0,64,0
Green Valley Hospital,28.7,77.3,2024,20,58,45,X-ray,Dr Ray,Yes,No,4,452,3
City Hospital,28.61,77.2,2023,12,85,41,Orthopedic,Dr Sharma,Yes,No,2,292,2
City Hospital,28.61,77.2,2024,7,53,24,Cardiology,Dr Kim,Yes,No,3,364,3
Metro Hospital,28.65,77.25,2024,1,7,9,Cardiology,Dr Lee,Yes,No,3,310,8
Green Valley Hospital,28.7,77.3,2023,6,12,10,X-ray,Dr Ray,Yes,No,4,443,8
Green Valley Hospital,28.7,77.3,2024,5,45,19,Emergency,Dr Doe,Yes,No,0,71,5
City Hospital,28.61,77.2,2024,0,39,25,Cardiology,Dr Lee,Yes,No,3,371,7
Green Valley Hospital,28.7,77.3,2022,2,13,7,X-ray,Dr Ray,Yes,No,4,484,8
Green Valley Hospital,28.7,77.3,2023,18,166,74,Emergency,Dr Allen,Yes,No,0,32,0
City Hospital,28.61,77.2,2024,12,61,56,Dental,Dr Ali,No,Yes,1,120,3
Metro Hospital,28.65,77.25,2024,12,144,102,Emergency,Dr Doe,Yes,No,0,51,0
Metro Hospital,28.65,77.25,2023,13,165,86,Emergency,Dr Khan,Yes,No,0,16,0
Metro Hospital,28.65,77.25,2022,9,92,45,Emergency,Dr Smith,Yes,No,0,96,3
City Hospital,28.61,77.2,2024,14,126,89,Emergency,Dr Doe,No,Yes,0,60,0
Green Valley Hospital,28.7,77.3,2024,3,16,39,X-ray,Dr Ray,No,Yes,4,470,6
City Hospital,28.61,77.2,2022,1,10,6,Cardiology,Dr Wright,Yes,No,3,374,5
City Hospital,28.61,77.2,2023,3,7,5,Orthopedic,Dr Sharma,Yes,No,2,255,9
City Hospital,28.61,77.2,2022,16,29,57,X-ray,Dr Das,No,Yes,4,482,6
Green Valley Hospital,28.7,77.3,2024,4,0,0,Dental,Dr Wong,No,Yes,1,157,7
Metro Hospital,28.65,77.25,2024,14,53,32,X-ray,Dr Ray,Yes,No,4,468,4
City Hospital,28.61,77.2,2022,17,31,26,Dental,Dr Ali,Yes,No,1,181,4
Green Valley Hospital,28.7,77.3,2023,15,41,25,Orthopedic,Dr Sharma,Yes,No,2,262,5
Green Valley Hospital,28.7,77.3,2023,15,74,31,Emergency,Dr Smith,Yes,No,0,99,2
Green Valley Hospital,28.7,77.3,2022,8,33,45,Orthopedic,Dr Sharma,No,Yes,2,260,6
Metro Hospital,28.65,77.25,2023,9,37,20,Dental,Dr Ali,Yes,No,1,128,3
Metro Hospital,28.65,77.25,2023,9,41,28,Orthopedic,Dr Verma,Yes,No,2,273,6
City Hospital,28.61,77.2,2022,15,44,22,Orthopedic,Dr Patel,Yes,No,2,282,6
Green Valley Hospital,28.7,77.3,2024,4,21,14,X-ray,Dr Das,Yes,No,4,462,6
Green Valley Hospital,28.7,77.3,2023,20,76,42,Orthopedic,Dr Verma,Yes,No,2,212,4
Green Valley Hospital,28.7,77.3,2022,16,32,20,Orthopedic,Dr Patel,Yes,No,2,290,5
City Hospital,28.61,77.2,2024,6,15,34,X-ray,Dr Das,No,Yes,4,492,5
City Hospital,28.61,77.2,2022,18,91,81,Cardiology,Dr Kim,No,Yes,3,363,1
Metro Hospital,28.65,77.25,2024,16,36,25,X-ray,Dr Ray,Yes,No,4,414,6
Metro Hospital,28.65,77.25,2024,15,29,17,Orthopedic,Dr Verma,Yes,No,2,270,5
City Hospital,28.61,77.2,2024,21,94,73,Cardiology,Dr Wright,No,Yes,3,343,1
Green Valley Hospital,28.7,77.3,2024,0,46,26,X-ray,Dr Das,Yes,No,4,478,6
Green Valley Hospital,28.7,77.3,2023,0,41,26,Cardiology,Dr Lee,Yes,No,3,317,4
City Hospital,28.61,77.2,2022,2,21,13,Emergency,Dr Smith,Yes,No,0,66,7
Metro Hospital,28.65,77.25,2024,8,29,17,Dental,Dr Wong,Yes,No,1,155,6
Metro Hospital,28.65,77.25,2024,4,19,11,X-ray,Dr Ray,Yes,No,4,417,7
City Hospital,28.61,77.2,2024,21,53,33,X-ray,Dr Ray,Yes,No,4,410,6
Green Valley Hospital,28.7,77.3,2022,7,93,63,Emergency,Dr Allen,Yes,No,0,48,2
City Hospital,28.61,77.2,2022,19,103,47,Orthopedic,Dr Verma,Yes,No,2,279,0
Metro Hospital,28.65,77.25,2023,1,4,7,Cardiology,Dr Gupta,Yes,No,3,346,5
City Hospital,28.61,77.2,2024,21,1,1,Dental,Dr Wong,Yes,No,1,121,7
City Hospital,28.61,77.2,2022,13,135,82,Emergency,Dr Allen,Yes,No,0,37,0
Metro Hospital,28.65,77.25,2023,14,87,78,Cardiology,Dr Kim,No,Yes,3,381,2
Green Valley Hospital,28.7,77.3,2023,1,3,3,Dental,Dr Ali,Yes,No,1,137,9
City Hospital,28.61,77.2,2022,22,46,22,X-ray,Dr Ray,Yes,No,4,452,7
City Hospital,28.61,77.2,2022,21,0,0,Dental,Dr Ali,Yes,No,1,138,7
City Hospital,28.61,77.2,2022,6,6,7,Orthopedic,Dr Verma,Yes,No,2,299,7
City Hospital,28.61,77.2,2023,22,54,33,Orthopedic,Dr Verma,Yes,No,2,248,4
Metro Hospital,28.65,77.25,2024,19,88,56,Cardiology,Dr Kim,Yes,No,3,366,2
Green Valley Hospital,28.7,77.3,2024,20,97,52,Dental,Dr Ali,Yes,No,1,128,1
Metro Hospital,28.65,77.25,2024,6,9,6,Orthopedic,Dr Sharma,Yes,No,2,268,10
Metro Hospital,28.65,77.25,2022,1,2,5,Dental,Dr Wong,Yes,No,1,119,6
Green Valley Hospital,28.7,77.3,2024,7,48,26,Orthopedic,Dr Sharma,Yes,No,2,252,4
Metro Hospital,28.65,77.25,2024,7,44,26,Cardiology,Dr Wright,Yes,No,3,392,3
Green Valley Hospital,28.7,77.3,2024,13,83,66,Cardiology,Dr Gupta,No,Yes,3,335,3
Metro Hospital,28.65,77.25,2024,8,25,18,Dental,Dr Ali,Yes,No,1,157,4
Metro Hospital,28.65,77.25,2024,8,48,28,Cardiology,Dr Lee,Yes,No,3,394,5
Green Valley Hospital,28.7,77.3,2024,18,61,28,X-ray,Dr Das,Yes,No,4,490,3
City Hospital,28.61,77.2,2024,21,83,36,Cardiology,Dr Wright,Yes,No,3,399,3
Metro Hospital,28.65,77.25,2024,6,11,12,X-ray,Dr Ray,Yes,No,4,420,7
Metro Hospital,28.65,77.25,2023,14,140,72,Emergency,Dr Smith,Yes,No,0,15,0
City Hospital,28.61,77.2,2022,0,36,26,Cardiology,Dr Wright,Yes,No,3,355,5
Green Valley Hospital,28.7,77.3,2022,19,169,88,Emergency,Dr Doe,Yes,No,0,75,0
City Hospital,28.61,77.2,2024,14,159,112,Emergency,Dr Doe,Yes,No,0,82,0
Metro Hospital,28.65,77.25,2023,5,11,11,Cardiology,Dr Lee,Yes,No,3,347,9
City Hospital,28.61,77.2,2022,15,40,20,Cardiology,Dr Kim,Yes,No,3,331,5
Green Valley Hospital,28.7,77.3,2022,0,2,27,Dental,Dr Singh,No,Yes,1,192,7
City Hospital,28.61,77.2,2024,10,93,39,Dental,Dr Wong,Yes,No,1,162,0
Green Valley Hospital,28.7,77.3,2022,0,42,28,Orthopedic,Dr Patel,Yes,No,2,236,5
City Hospital,28.61,77.2,2023,8,69,43,Emergency,Dr Smith,Yes,No,0,29,4
Metro Hospital,28.65,77.25,2023,2,5,6,Orthopedic,Dr Sharma,Yes,No,2,277,5
Metro Hospital,28.65,77.25,2023,7,2,3,Dental,Dr Ali,Yes,No,1,152,6
City Hospital,28.61,77.2,2022,17,99,62,Emergency,Dr Allen,Yes,No,0,90,3
Green Valley Hospital,28.7,77.3,2024,13,60,31,Dental,Dr Ali,Yes,No,1,119,3
Metro Hospital,28.65,77.25,2022,19,82,46,Cardiology,Dr Lee,Yes,No,3,361,3
Green Valley Hospital,28.7,77.3,2023,6,4,7,Cardiology,Dr Lee,Yes,No,3,344,6
Metro Hospital,28.65,77.25,2023,15,32,23,X-ray,Dr Das,Yes,No,4,447,8
City Hospital,28.61,77.2,2022,11,83,41,Dental,Dr Singh,Yes,No,1,173,1
Green Valley Hospital,28.7,77.3,2024,19,79,37,Cardiology,Dr Kim,Yes,No,3,343,3
Metro Hospital,28.65,77.25,2022,23,52,27,Cardiology,Dr Gupta,Yes,No,3,348,5
Green Valley Hospital,28.7,77.3,2022,1,43,34,Emergency,Dr Allen,Yes,No,0,71,3
Metro Hospital,28.65,77.25,2024,5,2,3,Cardiology,Dr Wright,Yes,No,3,358,9
City Hospital,28.61,77.2,2023,1,37,56,Emergency,Dr Allen,No,Yes,0,35,5
City Hospital,28.61,77.2,2023,12,79,45,Dental,Dr Ali,Yes,No,1,136,1
Green Valley Hospital,28.7,77.3,2022,3,10,48,Orthopedic,Dr Sharma,No,Yes,2,254,5
City Hospital,28.61,77.2,2023,7,2,2,Dental,Dr Wong,Yes,No,1,176,7
Metro Hospital,28.65,77.25,2023,6,38,24,Emergency,Dr Doe,Yes,No,0,49,4
Green Valley Hospital,28.7,77.3,2024,0,107,49,Emergency,Dr Smith,Yes,No,0,53,0
Green Valley Hospital,28.7,77.3,2024,4,9,4,Cardiology,Dr Kim,Yes,No,3,357,8
City Hospital,28.61,77.2,2022,9,27,20,Dental,Dr Wong,Yes,No,1,172,5
Green Valley Hospital,28.7,77.3,2022,16,54,34,Orthopedic,Dr Patel,Yes,No,2,249,3
Metro Hospital,28.65,77.25,2022,0,2,4,Dental,Dr Singh,Yes,No,1,139,10
Green Valley Hospital,28.7,77.3,2023,4,23,13,Emergency,Dr Allen,Yes,No,0,81,4
Metro Hospital,28.65,77.25,2022,7,41,33,X-ray,Dr Ray,Yes,No,4,443,5
Green Valley Hospital,28.7,77.3,2022,7,3,3,Dental,Dr Ali,Yes,No,1,189,7
Green Valley Hospital,28.7,77.3,2022,18,96,44,Orthopedic,Dr Sharma,Yes,No,2,229,0
Metro Hospital,28.65,77.25,2023,8,46,36,Dental,Dr Singh,Yes,No,1,157,5
Green Valley Hospital,28.7,77.3,2023,9,36,24,X-ray,Dr Das,Yes,No,4,446,7
City Hospital,28.61,77.2,2022,3,3,5,Dental,Dr Ali,Yes,No,1,163,10
City Hospital,28.61,77.2,2024,20,59,60,X-ray,Dr Ray,No,Yes,4,497,3
Metro Hospital,28.65,77.25,2023,15,49,28,Dental,Dr Ali,Yes,No,1,196,3
City Hospital,28.61,77.2,2022,12,150,77,Emergency,Dr Smith,Yes,No,0,33,0
Metro Hospital,28.65,77.25,2024,4,3,42,Orthopedic,Dr Verma,No,Yes,2,239,6
Green Valley Hospital,28.7,77.3,2022,7,49,31,Cardiology,Dr Wright,Yes,No,3,346,7
Green Valley Hospital,28.7,77.3,2024,23,47,31,Cardiology,Dr Wright,Yes,No,3,363,5
City Hospital,28.61,77.2,2022,2,0,0,Dental,Dr Singh,No,Yes,1,124,9
Metro Hospital,28.65,77.25,2022,8,29,15,Dental,Dr Wong,Yes,No,1,141,6
City Hospital,28.61,77.2,2024,17,25,18,Cardiology,Dr Kim,Yes,No,3,343,4
City Hospital,28.61,77.2,2024,2,36,48,Emergency,Dr Khan,No,Yes,0,59,7
City Hospital,28.61,77.2,2023,0,26,17,Cardiology,Dr Gupta,Yes,No,3,392,4
Metro Hospital,28.65,77.25,2022,20,91,46,Cardiology,Dr Kim,Yes,No,3,366,1
Metro Hospital,28.65,77.25,2024,6,11,11,Orthopedic,Dr Reddy,Yes,No,2,218,9
City Hospital,28.61,77.2,2024,1,2,3,Cardiology,Dr Wright,Yes,No,3,395,7
Metro Hospital,28.65,77.25,2023,0,36,25,Orthopedic,Dr Sharma,Yes,No,2,245,4
Metro Hospital,28.65,77.25,2023,10,71,45,Orthopedic,Dr Patel,Yes,No,2,255,3
Green Valley Hospital,28.7,77.3,2022,21,80,54,Orthopedic,Dr Verma,No,Yes,2,279,3
City Hospital,28.61,77.2,2024,20,64,33,X-ray,Dr Das,Yes,No,4,447,3
Metro Hospital,28.65,77.25,2024,0,100,62,Emergency,Dr Khan,Yes,No,0,54,2
City Hospital,28.61,77.2,2023,23,76,32,Emergency,Dr Allen,Yes,No,0,85,2
Green Valley Hospital,28.7,77.3,2024,21,100,47,Orthopedic,Dr Verma,Yes,No,2,286,1
City Hospital,28.61,77.2,2024,23,84,69,Emergency,Dr Smith,No,Yes,0,87,4
City Hospital,28.61,77.2,2024,8,86,48,Emergency,Dr Smith,Yes,No,0,25,2
Green Valley Hospital,28.7,77.3,2024,17,41,30,Cardiology,Dr Gupta,Yes,No,3,399,5
Metro Hospital,28.65,77.25,2023,23,31,21,X-ray,Dr Ray,Yes,No,4,489,5
Green Valley Hospital,28.7,77.3,2022,19,57,32,X-ray,Dr Ray,Yes,No,4,434,4
Green Valley Hospital,28.7,77.3,2022,2,13,13,X-ray,Dr Ray,Yes,No,4,440,5
Metro Hospital,28.65,77.25,2022,7,40,17,Cardiology,Dr Lee,Yes,No,3,333,4
City Hospital,28.61,77.2,2023,7,1,4,Dental,Dr Ali,Yes,No,1,151,9
Green Valley Hospital,28.7,77.3,2024,16,51,23,Orthopedic,Dr Patel,Yes,No,2,231,5
Metro Hospital,28.65,77.25,2024,20,79,56,Orthopedic,Dr Reddy,Yes,No,2,225,3
City Hospital,28.61,77.2,2024,14,89,55,Cardiology,Dr Lee,Yes,No,3,366,2
Metro Hospital,28.65,77.25,2022,7,40,22,X-ray,Dr Ray,Yes,No,4,426,7
City Hospital,28.61,77.2,2024,4,4,4,Orthopedic,Dr Patel,Yes,No,2,254,6
Metro Hospital,28.65,77.25,2024,1,11,7,X-ray,Dr Das,Yes,No,4,492,7
City Hospital,28.61,77.2,2023,18,96,59,Cardiology,Dr Kim,Yes,No,3,389,2
Metro Hospital,28.65,77.25,2022,7,95,47,Emergency,Dr Smith,Yes,No,0,23,3
Metro Hospital,28.65,77.25,2022,19,95,65,Cardiology,Dr Gupta,Yes,No,3,363,1
Green Valley Hospital,28.7,77.3,2023,13,127,83,Emergency,Dr Khan,Yes,No,0,13,0
Green Valley Hospital,28.7,77.3,2022,6,0,0,Dental,Dr Singh,No,Yes,1,193,6
Green Valley Hospital,28.7,77.3,2024,5,10,10,X-ray,Dr Ray,Yes,No,4,496,5
Green Valley Hospital,28.7,77.3,2024,7,3,5,Dental,Dr Ali,Yes,No,1,182,6
Green Valley Hospital,28.7,77.3,2022,3,4,5,Orthopedic,Dr Verma,Yes,No,2,220,10
Green Valley Hospital,28.7,77.3,2024,11,76,35,Dental,Dr Singh,Yes,No,1,141,4
Metro Hospital,28.65,77.25,2022,11,125,66,Emergency,Dr Allen,Yes,No,0,86,0
Green Valley Hospital,28.7,77.3,2024,6,9,11,Orthopedic,Dr Reddy,Yes,No,2,284,8
Green Valley Hospital,28.7,77.3,2024,23,32,21,X-ray,Dr Das,Yes,No,4,414,6
City Hospital,28.61,77.2,2022,19,56,27,X-ray,Dr Das,Yes,No,4,467,4
City Hospital,28.61,77.2,2023,0,33,19,X-ray,Dr Das,Yes,No,4,445,8
Metro Hospital,28.65,77.25,2023,6,5,8,Cardiology,Dr Wright,Yes,No,3,382,6
Green Valley Hospital,28.7,77.3,2022,15,32,21,Dental,Dr Singh,Yes,No,1,117,6
City Hospital,28.61,77.2,2023,5,2,4,Dental,Dr Singh,Yes,No,1,158,10
Green Valley Hospital,28.7,77.3,2024,20,65,45,X-ray,Dr Ray,Yes,No,4,469,2
Green Valley Hospital,28.7,77.3,2024,12,157,66,Emergency,Dr Doe,Yes,No,0,59,0
Metro Hospital,28.65,77.25,2022,20,104,62,Orthopedic,Dr Reddy,Yes,No,2,278,0
Green Valley Hospital,28.7,77.3,2024,2,9,27,Cardiology,Dr Kim,No,Yes,3,385,9
Green Valley Hospital,28.7,77.3,2022,0,46,31,X-ray,Dr Das,Yes,No,4,438,3
City Hospital,28.61,77.2,2024,3,36,22,Emergency,Dr Doe,Yes,No,0,41,2
Green Valley Hospital,28.7,77.3,2024,9,33,23,X-ray,Dr Ray,Yes,No,4,414,6
